SBU,Domain,Sub-Portfolio,App Phase,Application_UUID,Application,UUID
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Developing,AH-TPA-INTEGRATION-SERVICE_26F07A04-782D-4715-BED7-A5D8C36AC935,AH-TPA-INTEGRATION-SERVICE,26F07A04-782D-4715-BED7-A5D8C36AC935
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - DOCUMENT GENERATION_07CCB5FB-9993-4A75-93BD-04F2880E0DC7,GRM US AH - DOCUMENT GENERATION,07CCB5FB-9993-4A75-93BD-04F2880E0DC7
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - FINANCE_1367226C-9174-45BB-B270-FF88231A202D,GRM US AH - FINANCE,1367226C-9174-45BB-B270-FF88231A202D
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM_C0F27D56-F07F-4267-A242-F4C15C346BD0,GRM US AH - QUANTUM,C0F27D56-F07F-4267-A242-F4C15C346BD0
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM ACCESS_71D17D02-43B0-434E-A373-5B67D99029D4,GRM US AH - QUANTUM ACCESS,71D17D02-43B0-434E-A373-5B67D99029D4
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM COMPOSE_FB7F9933-1079-4DE1-810E-708E98FCCDC7,GRM US AH - QUANTUM COMPOSE,FB7F9933-1079-4DE1-810E-708E98FCCDC7
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM CUSTOMER PORTAL_8FC1D7AE-BFC6-4DAF-AAD0-0F551744BD17,GRM US AH - QUANTUM CUSTOMER PORTAL,8FC1D7AE-BFC6-4DAF-AAD0-0F551744BD17
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM POLICY ADMIN_B101022C-03BC-47AE-A8A6-E5F9B9DE7DFB,GRM US AH - QUANTUM POLICY ADMIN,B101022C-03BC-47AE-A8A6-E5F9B9DE7DFB
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM PROPOSE_B80CF680-1A88-4F97-AEDF-E75592F6D5E8,GRM US AH - QUANTUM PROPOSE,B80CF680-1A88-4F97-AEDF-E75592F6D5E8
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - QUANTUM VORTEX_26CB3823-9322-4375-82EA-3DE765D5051B,GRM US AH - QUANTUM VORTEX,26CB3823-9322-4375-82EA-3DE765D5051B
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - RATING_2AD93DB3-7D49-4C97-B867-FD54220D99DF,GRM US AH - RATING,2AD93DB3-7D49-4C97-B867-FD54220D99DF
US Retail Markets,USRM - Innovation Enablement,Accident and Health,Supporting,GRM US AH - SERVIEW_EED4C078-2474-4521-82AB-A0175C9C92B3,GRM US AH - SERVIEW,EED4C078-2474-4521-82AB-A0175C9C92B3
